黑客帝国2：重装上阵,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,8.7,394505
血钻,爱德华·兹威克 Edward Zwick,2006,8.7,368791
房间,伦尼·阿伯拉罕森 Lenny Abrahamson,2015,8.8,361167
末路狂花,雷德利·斯科特 Ridley Scott,1991,8.9,238192
步履不停,是枝裕和 Hirokazu Koreeda,2008,8.8,270304
爱乐之城,达米恩·查泽雷 Damien Chazelle,2016,8.4,861771
魂断蓝桥,茂文·勒鲁瓦 Mervyn LeRoy,1940,8.8,269690
战争之王,安德鲁·尼科尔 Andrew Niccol,2005,8.7,356379
花束般的恋爱,土井裕泰 Nobuhiro Doi,2021,8.6,574441
火星救援,雷德利·斯科特 Ridley Scott,2015,8.5,704097
谍影重重2,保罗·格林格拉斯 Paul Greengrass,2004,8.7,340855
千年女优,今敏 Satoshi Kon,2001,8.8,254931
哈利·波特与死亡圣器(上),大卫·叶茨 David Yates,2010,8.5,548929
芙蓉镇,谢晋 Jin Xie,1987,9.2,125737
燃情岁月,爱德华·兹威克 Edward Zwick,1994,8.8,278930
阿飞正传,王家卫 Kar Wai Wong,1990,8.5,491683
弱点,约翰·李·汉考克 John Lee Hancock,2009,8.7,294787
谍影重重,道格·里曼 Doug Liman,2002,8.6,411200
再次出发之纽约遇见你,约翰·卡尼 John Carney,2013,8.6,416231
朗读者,史蒂芬·戴德利 Stephen Daldry,2008,8.6,444412
香水,汤姆·提克威 Tom Tykwer,2006,8.5,531517
海洋,雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,2009,9.1,154238
穿越时空的少女,细田守 Mamoru Hosoda,2006,8.6,371746
地球上的星星,阿米尔·汗 Aamir Khan,2007,8.9,199310
我爱你,秋昌民 Chang-min Choo,2011,9.0,161243
肖申克的救赎,弗兰克·德拉邦特 Frank Darabont,1994,9.7,2803486
霸王别姬,陈凯歌 Kaige Chen,1993,9.6,2074574
阿甘正传,罗伯特·泽米吉斯 Robert Zemeckis,1994,9.5,2100314
泰坦尼克号,詹姆斯·卡梅隆 James Cameron,1997,9.5,2063555
这个杀手不太冷,吕克·贝松 Luc Besson,1994,9.4,2234892
美丽人生,罗伯托·贝尼尼 Roberto Benigni,1997,9.6,1290393
千与千寻,宫崎骏 Hayao Miyazaki,2001,9.4,2176393
辛德勒的名单,史蒂文·斯皮尔伯格 Steven Spielberg,1993,9.6,1075231
盗梦空间,克里斯托弗·诺兰 Christopher Nolan,2010,9.4,2007240
星际穿越,克里斯托弗·诺兰 Christopher Nolan,2014,9.4,1767306
楚门的世界,彼得·威尔 Peter Weir,1998,9.4,1640757
忠犬八公的故事,莱塞·霍尔斯道姆 Lasse Hallström,2009,9.4,1363199
海上钢琴师,朱塞佩·托纳多雷 Giuseppe Tornatore,1998,9.3,1634241
三傻大闹宝莱坞,拉库马·希拉尼 Rajkumar Hirani,2009,9.2,1812538
放牛班的春天,克里斯托夫·巴拉蒂 Christophe Barratier,2004,9.3,1277462
机器人总动员,安德鲁·斯坦顿 Andrew Stanton,2008,9.3,1282294
无间道,刘伟强 / 麦兆辉,2002,9.3,1319020
疯狂动物城,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,2016,9.2,1867940
控方证人,比利·怀尔德 Billy Wilder,1957,9.6,527817
大话西游之大圣娶亲,刘镇伟 Jeffrey Lau,1995,9.2,1492090
熔炉,黄东赫 Dong-hyuk Hwang,2011,9.4,907846
教父,弗朗西斯·福特·科波拉 Francis Ford Coppola,1972,9.3,936108
当幸福来敲门,加布里尔·穆奇诺 Gabriele Muccino,2006,9.2,1479871
触不可及,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,2011,9.3,1074502
怦然心动,罗伯·莱纳 Rob Reiner,2010,9.1,1783372
龙猫,宫崎骏 Hayao Miyazaki,1988,9.2,1229887
末代皇帝,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,1987,9.3,847747
寻梦环游记,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,2017,9.1,1617923
活着,张艺谋 Yimou Zhang,1994,9.3,816382
蝙蝠侠：黑暗骑士,克里斯托弗·诺兰 Christopher Nolan,2008,9.2,1026871
哈利·波特与魔法石,Chris Columbus,2001,9.2,1146168
指环王3：王者无敌,彼得·杰克逊 Peter Jackson,2003,9.3,779493
乱世佳人,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,1939,9.3,670882
素媛,李濬益 Jun-ik Lee,2013,9.3,666579
我不是药神,文牧野 Muye Wen,2018,9.0,2041877
飞屋环游记,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,2009,9.1,1287921
何以为家,娜丁·拉巴基 Nadine Labaki,2018,9.1,1015155
十二怒汉,Sidney Lumet,1957,9.4,472237
摔跤吧！爸爸,涅提·蒂瓦里 Nitesh Tiwari,2016,9.0,1529453
哈尔的移动城堡,宫崎骏 Hayao Miyazaki,2004,9.1,988261
鬼子来了,姜文 Wen Jiang,2000,9.3,608001
少年派的奇幻漂流,李安 Ang Lee,2012,9.1,1317864
猫鼠游戏,史蒂文·斯皮尔伯格 Steven Spielberg,2002,9.1,983577
让子弹飞,姜文 Wen Jiang,2010,9.0,1649684
海蒂和爷爷,阿兰·葛斯彭纳 Alain Gsponer,2015,9.3,576977
钢琴家,罗曼·波兰斯基 Roman Polanski,2002,9.3,612082
大话西游之月光宝盒,刘镇伟 Jeffrey Lau,1995,9.0,1188582
天空之城,宫崎骏 Hayao Miyazaki,1986,9.2,796382
指环王2：双塔奇兵,彼得·杰克逊 Peter Jackson,2002,9.2,730100
闻香识女人,马丁·布莱斯 Martin Brest,1992,9.1,853446
天堂电影院,朱塞佩·托纳多雷 Giuseppe Tornatore,1988,9.2,663944
罗马假日,威廉·惠勒 William Wyler,1953,9.1,925852
绿皮书,彼得·法雷里 Peter Farrelly,2018,8.9,1594133
大闹天宫,万籁鸣 Laiming Wan,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),9.4,421407
死亡诗社,彼得·威尔 Peter Weir,1989,9.2,696457
指环王1：护戒使者,彼得·杰克逊 Peter Jackson,2001,9.1,821949
黑客帝国,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,1999,9.1,814795
教父2,弗朗西斯·福特·科波拉 Francis Ford Coppola,1974,9.3,533504
狮子王,Roger Allers / 罗伯·明可夫 Rob Minkoff,1994,9.1,812706
辩护人,杨宇硕 Woo-seok Yang,2013,9.2,575165
饮食男女,李安 Ang Lee,1994,9.2,600671
搏击俱乐部,大卫·芬奇 David Fincher,1999,9.0,823300
美丽心灵,朗·霍华德 Ron Howard,2001,9.1,747919
本杰明·巴顿奇事,大卫·芬奇 David Fincher,2008,9.0,956750
穿条纹睡衣的男孩,马克·赫尔曼 Mark Herman,2008,9.2,544526
